,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Sun Jan 08 01:22:05 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Brasil,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
1,Sun Jan 08 01:49:01 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,-419.333,-18.85,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
2,Sun Jan 08 01:01:46 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,-419.333,-18.85,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
3,Wed Jan 04 21:43:51 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
4,Mon Jan 09 15:08:21 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
5,Sat Jan 07 13:47:55 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Um Outro Mundo É Possível,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
6,Wed Jan 04 23:00:53 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
7,Sun Jan 08 18:34:22 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Belo Horizonte, Brasil",ufrj,ufrj,2,Positivo,,,,,,,,,,,,,,,,
8,Wed Jan 04 22:55:08 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
9,Sat Jan 07 01:37:10 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Belo Horizonte - MG,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
10,Mon Jan 09 15:09:31 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,error 404 location not found,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
11,Thu Jan 05 00:41:09 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Minas Gerais, Brasil",ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
12,Mon Jan 09 16:06:23 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Santo Antônio do Monte, Brasil",ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
13,Mon Jan 09 09:45:07 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,BRASIL,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
14,Mon Jan 09 10:00:35 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
15,Thu Jan 05 16:01:15 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,San Pedro Garza García,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
16,Thu Jan 05 03:26:49 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
17,Mon Jan 09 19:57:30 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Belo Horizonte, Brasil",ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
18,Mon Jan 09 10:27:35 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Belo Horizonte MG Brasil,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
19,Mon Jan 09 19:48:36 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Belo Horizonte/MG/Brasil,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
20,Wed Jan 04 19:43:08 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Belo Horizonte, Brazil",ufrj,ufrj,4,Positivo,,,,,,,,,,,,,,,,
21,Thu Jan 05 10:14:44 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,"Teófilo Otoni, Brasil",ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
22,Fri Jan 06 20:59:57 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Brasil,ufrj,ufrj,1,Positivo,,,,,,,,,,,,,,,,
23,Sat Jan 07 23:41:11 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Belo Horizonte/MG,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
24,Mon Jan 09 14:52:12 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
25,Thu Jan 05 15:37:13 +0000 2017,A Reitoria da UFRJ informa que servidores de saude da UFRJ em atuacao no enfrentamento da COVID-19 receberao grau maximo no adici... ,,,Fortaleza -  Ceará - Brasil,ufrj,ufrj,0,Positivo,,,,,,,,,,,,,,,,
26,Tue Jan 10 05:36:07 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,louisflowers,AfraniodeAquino,AfraniodeAquino,0,Negativo,,,,,,,,,,,,,,,,
27,Thu Jan 05 10:02:25 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,Brasil,AfraniodeAquino,juarezrds,0,Negativo,,,,,,,,,,,,,,,,
28,Thu Jan 05 09:42:06 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,Brasil,AfraniodeAquino,juarezrds,0,Negativo,,,,,,,,,,,,,,,,
29,Thu Jan 05 21:12:11 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,Pelotas (RS),AfraniodeAquino,diariopopularRS,4,Negativo,,,,,,,,,,,,,,,,
30,Fri Jan 06 11:02:14 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
31,Sun Jan 08 00:23:13 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
32,Sat Jan 07 15:39:12 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
33,Mon Jan 09 20:13:40 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
34,Mon Jan 09 16:19:14 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
35,Wed Jan 04 21:28:12 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
36,Sun Jan 08 22:11:07 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
37,Sun Jan 08 16:06:34 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
38,Mon Jan 09 11:51:09 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
39,Thu Jan 05 18:51:27 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
40,Sat Jan 07 12:22:13 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
41,Tue Jan 10 11:12:09 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
42,Thu Jan 05 15:14:14 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
43,Wed Jan 04 19:37:11 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
44,Thu Jan 05 08:36:20 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
45,Sat Jan 07 15:06:38 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
46,Wed Jan 04 23:50:12 +0000 2017,Casos de Covid-19 em Alagoas passam de 7 mil; obitos registrados ja sao 352 https://t.co/kKHOVLuLqY #Covid19 #Coronavi...,,,,AfraniodeAquino,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
